ID;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance
0x762c;27;Teacher;17469,68;1417,806667;7;9;18;5;45;13;27,12;10;Bad;3645,12;32,62535553;6,08;Yes;67,96105154;111,7135928;Low_spent_Medium_value_payments;242,1060224
0x21f2c;32;Entrepreneur;88574,43;7417,2025;4;5;2;1;9;8;10,65;4;Good;1451,63;30,93512986;16,33;No;40,53309262;159,6059932;High_spent_Medium_value_payments;791,5811642
0x113d7;26;Engineer;22709,94;2057,495;6;7;13;4;8;10;11,59;3;Standard;994,73;41,08855242;21,42;No;44,98950839;54,07070967;High_spent_Medium_value_payments;356,6892819
0x18463;55;Teacher;97635,87;7897,3225;3;4;12;3;18;8;7,17;4;Good;1298,97;25,9591517;25,42;No;213,8656506;234,9302955;High_spent_Medium_value_payments;590,9363039
0x1683d;37;Scientist;60537,18;5182,765;7;4;6;2;19;18;11,93;2;Standard;393,5;32,61946567;31,25;Yes;99,21125506;332,1686619;Low_spent_Small_value_payments;376,8965831
0x16817;25;Writer;15724,04;1094,336667;10;5;19;8;17;20;6,6;12;Bad;3431;30,71633228;14,08;Yes;84,28014673;82,0362648;Low_spent_Small_value_payments;233,1172551
0x160a0;18;Engineer;18191,86;1263,988333;9;5;27;6;58;24;29,2;6;Bad;4460,12;37,89078115;12,42;Yes;78,56152135;97,90875822;Low_spent_Small_value_payments;239,9285538
0x20864;45;Architect;54346,35;4463,8625;6;7;19;8;51;23;25,97;14;Bad;4775,2;31,98585145;12,25;Yes;332,5636713;35,9738109;High_spent_Large_value_payments;317,8487678
0x13a83;32;Mechanic;128501,8;10624,48333;2;7;7;3;8;1;2,25;0;Good;833,92;39,4871885;28,83;No;175,3479404;585,7271632;Low_spent_Large_value_payments;571,3732297
0x18a45;38;Media_Manager;58558,86;5123,905;10;9;25;2;56;16;19,92;16;Standard;1376,79;36,52909764;14,83;Yes;58,73135222;94,65427738;High_spent_Medium_value_payments;609,0048704
0x204f9;48;Architect;17451,235;1276,269583;5;3;5;4;15;14;3,38;4;Good;883,67;27,53825267;20,42;No;40,60167158;100,5965895;Low_spent_Small_value_payments;276,4286973
0x9b3a;27;Writer;81320,88;6764,74;7;3;15;1;14;14;10,34;1;Standard;520,44;30,39866857;15,25;No;48,35319696;74,09386538;High_spent_Large_value_payments;794,0269377
0x13ee3;35;Lawyer;52338,57;4451,5475;6;8;22;5;32;15;24,07;11;Bad;3517,04;26,79928464;11,75;Yes;150,5977429;97,61810515;High_spent_Large_value_payments;436,9389019
0x17033;25;Musician;140770,16;11624,84667;8;6;12;0;12;8;6,83;4;Standard;1375,36;36,69708442;25,08;Yes;0;245,9446479;High_spent_Large_value_payments;1156,540019
0x1240f;23;Entrepreneur;33494,58;2754,215;8;5;12;3;9;16;17,8;6;Standard;1257,38;35,69053732;8;Yes;70,03545947;169,7685761;High_spent_Small_value_payments;295,6174645
0x1ea36;37;Architect;78953,92;6663,493333;10;10;22;5;54;17;21,14;12;Bad;4437,8;31,64359645;12,42;Yes;271,848975;202,1709935;High_spent_Medium_value_payments;442,3293648
0x854f;18;Manager;33832,58;2809,381667;8;5;22;8;58;20;3,42;12;Bad;3584,4;35,18518109;0,67;Yes;150,2708913;105,3320621;High_spent_Medium_value_payments;275,3352133
0x209b;40;Teacher;20540,49;1859,7075;0;4;8;1;3;0;7,09;2;Good;1118,37;27,40953712;15,67;No;8,821659719;18,18591758;High_spent_Large_value_payments;398,9631727
0x236c3;53;Architect;112853,22;9552,435;2;4;4;2;3;0;1,06;0;Good;732,33;22,54358508;17,25;No;127,0722876;821,905205;Low_spent_Medium_value_payments;286,2660074
0x21d74;52;Lawyer;85918,76;7210,896667;3;4;2;4;16;13;1,46;2;Good;351,62;31,824744;25,92;No;276,1133391;261,3283583;High_spent_Medium_value_payments;433,6479692
0xb131;24;Musician;18138;1464,5;9;6;28;5;36;20;15,1;10;Bad;3919,09;38,00225989;3,83;Yes;45,99505329;90,49889825;Low_spent_Medium_value_payments;289,9560485
0x148c2;44;Developer;111755,6;9488,966667;3;7;14;2;17;11;13,79;0;Standard;407,8;30,31934434;20,75;Yes;126,7042403;369,2564084;Low_spent_Medium_value_payments;732,936018
0x9066;33;Mechanic;70360,58;6051,381667;3;6;12;1;10;7;1,15;2;Good;946,96;34,6619441;17,58;No;50,41366815;281,5774727;High_spent_Small_value_payments;533,1470259
0x151ad;30;Mechanic;30022,71;2684,8925;3;7;6;4;14;5;2,06;1;Good;1071,33;34,4352661;26,17;No;62,22228531;233,3078367;Low_spent_Large_value_payments;242,959128
0x2417e;26;Scientist;15279,715;879,6736053;3;7;15;4;29;9;3,01;6;Standard;562,9;28,63467878;20;Yes;187,3964547;20,84843826;High_spent_Large_value_payments;270,0220434
0x83e2;30;Media_Manager;69502,12;5735,843333;3;7;17;2;14;9;7,86;8;Standard;1065,78;32,11876261;30,25;Yes;96,18121645;485,9712443;Low_spent_Small_value_payments;281,4318725
0xdf6f;46;Lawyer;112423,8;9485,65;1;3;4;3;3;6;6,04;0;Good;655,91;31,49937961;26,83;No;158,4753662;458,0242509;Low_spent_Medium_value_payments;612,0653829
0x3a99;36;Doctor;81497,12;6540,426667;7;6;32;6;37;16;7,8;8;Bad;3056,29;29,6749331;0,75;Yes;240,7126201;262,6879084;High_spent_Small_value_payments;410,6421382
0x76b8;22;Scientist;44986,07;3957,839167;3;3;4;2;3;12;11,37;5;Good;1162,52;35,99640461;28,42;No;63,75170391;83,91580759;High_spent_Large_value_payments;488,1164052
0x91d2;21;Writer;21156,88;1643,073333;5;6;13;0;27;7;10,12;5;Standard;386,38;33,57765059;16,5;Yes;0;40,96631072;High_spent_Medium_value_payments;373,3410226
0x47b4;29;Lawyer;20334,43;1541,535833;5;6;21;3;22;12;15,79;12;Standard;2400,74;24,24752014;19,42;Yes;45,71172082;91,25801739;Low_spent_Medium_value_payments;297,1838451
0x1e35d;25;Architect;34105,84;3093,153333;10;5;19;7;44;25;3,22;13;Bad;3084,2;27,52761445;14,33;Yes;143,1277115;163,4321051;Low_spent_Small_value_payments;292,7555167
0x1c81e;21;Musician;19998,33;1810,5275;8;6;12;3;17;18;12,44;2;Standard;1035,7;38,14355224;15,42;Yes;42,94652502;36,00365451;High_spent_Medium_value_payments;352,1025705
0x1b766;50;Journalist;30199,19;2741,599167;2;2;4;4;2;11;3,65;2;Good;1421,82;36,59479459;27;No;51,40716591;137,5683932;Low_spent_Large_value_payments;355,1843576
0x104e7;47;Writer;95858,31;8019,1925;3;6;6;2;25;11;6,89;3;Good;345,07;26,91478009;24,83;No;149,8009201;251,4283237;Low_spent_Large_value_payments;670,6900062
0x24e0;49;Teacher;134810,13;10998,1775;5;7;6;2;2;1;10,54;9;Good;744,97;40,73910114;32,25;No;199,8420985;325,2486865;High_spent_Small_value_payments;834,726965
0xb4b4;22;Teacher;34512,78;2902,065;3;5;7;2;12;8;11,36;4;Good;394,52;33,93607128;28,83;No;36,11736925;356,8035323;Low_spent_Small_value_payments;187,2855985
0x1c5fc;18;Doctor;58477,59;5005,1325;10;8;19;6;37;13;30,44;8;Bad;4896,77;31,59743101;2,33;Yes;228,8161049;186,2396508;High_spent_Medium_value_payments;335,4574943
0x10093;55;Writer;52042,32;4130,86;3;7;7;1;30;9;6,86;0;Standard;1160,3;26,31081929;21,83;No;39,28786723;459,5038499;Low_spent_Small_value_payments;204,2942829
0x15e3c;26;Accountant;20762,97;1651,2475;8;10;23;5;50;19;11,9;10;Bad;1671,15;28,10906935;16,42;Yes;75,49127012;69,60594775;Low_spent_Large_value_payments;290,0275321
0x214c8;41;Architect;147583,4;12224,61667;6;7;9;0;7;16;12,22;10;Standard;194,4;27,47845497;24,25;Yes;0;1065,341871;Low_spent_Medium_value_payments;437,1197955
0x20079;43;Mechanic;18465,74;1509,811667;3;4;24;4;20;18;19,27;8;Standard;1854,48;28,01569476;11,33;Yes;54,40859291;46,48414191;High_spent_Medium_value_payments;300,0884319
0xdff2;36;Accountant;43287,28;3839,273333;7;6;13;4;26;11;14,15;2;Standard;1393,19;31,74294586;30,25;Yes;111,3621465;212,570017;Low_spent_Small_value_payments;349,9951699
0xb3be;30;Architect;141816,36;12003,03;3;6;12;0;0;9;9,2;0;Good;532,62;38,37184767;30,75;No;0;437,6179409;High_spent_Medium_value_payments;1012,685059
0x1689b;28;Entrepreneur;44614,56;3500,88;8;7;17;4;18;8;12,71;8;Standard;2613,46;28,86718562;18,83;Yes;134,6629661;421,7775555;Low_spent_Small_value_payments;83,64747839
0x50fe;40;Scientist;44941,95;3946,1625;4;6;3;1;0;5;11,32;7;Good;1150,28;26,71774175;30,92;No;22,43472478;163,9058018;High_spent_Medium_value_payments;458,2757234
0x25341;41;Writer;76881,84;6529,82;3;7;6;1;3;9;11,03;9;Good;257,87;36,73353429;27,5;No;61,44003646;223,2163266;Low_spent_Medium_value_payments;648,325637
0x882d;53;Teacher;74213,52;6072,087064;5;6;6;0;17;9;5,65;3;Standard;201,35;33,59344181;18,42;No;333,372936;253,9775855;High_spent_Medium_value_payments;636,5684145
0x2f26;30;Developer;27242,8;2434,233333;5;4;15;6;19;19;19,5;7;Standard;881,36;32,16050222;17,08;Yes;73,81546182;112,5710548;Low_spent_Small_value_payments;347,0368167
0x30b3;44;Scientist;11956,285;1127,357083;6;6;11;4;28;13;20,75;7;Standard;809,11;37,91554472;17,75;Yes;23,83840365;105,2021671;Low_spent_Medium_value_payments;263,6951376
0x8888;36;Accountant;43108,4;3362,366667;3;6;8;0;22;15;11,49;5;Good;905,03;34,04470033;28,25;No;0;114,7850325;High_spent_Small_value_payments;481,4516341
